# As, ns, H0, w0, ombh2, omch2, nu_mass_ev, sigma8
2.10100315 0.97000003 67.00000000 -1.00000000 0.02230000 0.12000000 0.07071068 0.81001457
2.37183650 0.96249998 63.71875000 -0.94749999 0.02026875 0.11312500 0.03837258 0.82740883
2.26766983 0.94999999 70.75000000 -1.13999999 0.02355000 0.11500000 0.18803015 0.81501343
2.03850314 1.00250006 71.21875000 -1.22749996 0.02276875 0.12312500 0.27133510 0.82836783
2.05933648 0.97500002 60.43750000 -1.03499997 0.02386250 0.12875000 0.03395691 0.81898385
2.04891970 0.94125003 63.01562500 -0.88625002 0.02144063 0.11531250 0.04609567 0.74940983
1.97600314 0.94499999 73.56250000 -0.96499997 0.02198750 0.12625000 0.02082365 0.82390707
2.38225306 0.98124999 70.51562500 -1.16624999 0.02394062 0.12531251 0.32594562 0.86675351
2.30933650 0.98500001 66.06250000 -1.24500000 0.02448750 0.11625000 0.14724545 0.84121311
2.21558638 0.96125001 74.26562500 -0.74624997 0.02269063 0.11031250 0.12257522 0.70723274
2.14266982 0.96499997 62.31250000 -0.82499999 0.02323750 0.12125000 0.39154744 0.71053127
1.88225302 1.00125003 66.76562500 -1.02625000 0.02019062 0.12031250 0.01733476 0.80597786
1.80933646 1.00500000 69.81250000 -1.10500002 0.02073750 0.11125000 0.05537317 0.76474457
1.92391969 0.93624997 71.45312500 -1.20124996 0.02050312 0.12156250 0.03609728 0.83883449
1.83016979 0.96749997 72.15625000 -1.05250001 0.02120625 0.11687500 0.07990570 0.77013743
2.25725305 0.97624999 63.95312500 -0.92124999 0.02300313 0.11156250 0.25524634 0.73638876
2.16350315 1.00750005 64.65625000 -0.77249998 0.02370625 0.12687500 0.01130037 0.80506757
2.42391973 0.95625001 60.20312500 -1.06124997 0.02425312 0.12656251 0.09598803 0.86069462
2.33016983 0.94749999 60.90625000 -1.19250000 0.02245625 0.11187500 0.03004937 0.82748817
2.09058637 0.99624997 67.70312500 -0.78125000 0.02175312 0.11656250 0.01357476 0.76125223
1.99683647 0.98750001 68.40625000 -0.91250002 0.01995625 0.12187500 0.21248111 0.77297284
2.00725303 0.96625000 65.82812500 -1.27125001 0.02362812 0.11906250 0.05886345 0.81761355
2.08016981 0.93750000 66.53125000 -1.12249994 0.02308125 0.12437500 0.13030139 0.81613657
2.34058639 1.00625002 73.32812500 -0.99124998 0.02112813 0.12906250 0.41622752 0.86131706
1.93433647 0.99000001 63.25000000 -0.86000001 0.02105000 0.12500000 0.02659148 0.78076661
1.95516980 0.95249999 61.84375000 -0.73750001 0.02089375 0.12062500 0.16639285 0.69934296
2.41350318 0.97750002 74.03125000 -0.84249997 0.02058125 0.11437500 0.01842740 0.83679207
2.17391971 0.94625002 69.57812500 -1.13125002 0.01987812 0.11406250 0.15652665 0.81896690
2.24683649 0.95749998 70.28125000 -1.26250005 0.02183125 0.12937500 0.04900118 0.94011865
1.84058646 0.98624998 62.07812500 -0.85124999 0.02237812 0.12406250 0.02213621 0.74543247
1.91350313 0.99750000 62.78125000 -0.98250002 0.02433125 0.11937500 0.34649068 0.70117164
1.81975313 0.94875002 63.48437500 -0.72874999 0.02472188 0.12968750 0.22587423 0.67993023
1.87183646 0.94250000 67.46875000 -0.80750000 0.02401875 0.11812500 0.10203835 0.69165037
2.15308638 0.98874998 70.98437500 -1.00874996 0.02222187 0.11968750 0.03194345 0.84648137
2.20516982 0.98250002 59.96875000 -1.08749998 0.02151875 0.12812500 0.01443040 0.87263525
2.31975306 0.96875000 67.23437500 -0.86874998 0.02097188 0.12468750 0.01201266 0.86223461
2.01766981 0.95999998 68.87500000 -1.21000004 0.02417500 0.12750000 0.01630689 0.86151915
2.28850316 0.99250001 69.34375000 -1.01750004 0.02339375 0.11062500 0.02353151 0.82167753
2.35100317 1.00000000 61.37500000 -0.93000001 0.02167500 0.11750000 0.11530716 0.81709627
2.12183648 0.93250000 73.09375000 -0.87750000 0.02464375 0.12562500 0.06257375 0.79706614
2.18433649 0.94000000 65.12500000 -1.07000005 0.02042500 0.12250000 0.30661878 0.79773706
1.78850312 0.97250003 65.59375000 -1.15750003 0.02214375 0.11562500 0.44246322 0.68475382
1.85100313 0.98000002 72.62500000 -0.79000002 0.02292500 0.11250000 0.04336245 0.68909432
1.79891979 0.95125002 68.64062500 -0.95625001 0.02331563 0.12281250 0.02826760 0.75284312
1.89266980 0.95499998 64.18750000 -0.89499998 0.02261250 0.11375000 0.01276985 0.72081928
2.13225304 0.99124998 61.14062500 -1.23625004 0.02081563 0.11281250 0.19988210 0.78613522
2.22600316 0.99500000 71.68750000 -1.17499995 0.02011250 0.12375000 0.09029643 0.91968823
2.29891972 0.93124998 64.89062500 -0.81625003 0.02206562 0.12781250 0.07516772 0.82104652
2.39266984 0.93500000 67.93750000 -0.75500000 0.02136250 0.11875000 0.24011159 0.75463669
1.96558636 0.97125000 72.39062500 -1.09625006 0.02456562 0.11781250 0.01063032 0.80506533
